#
%Time%Gated%Ungated
@ ns@ @ 
19960 9 0
19970 5 0
19980 7 1
19990 3 3
20000 10 5
20010 11 2
20020 7 3
20030 5 0
20040 9 3
20050 4 2
20060 5 1
20070 6 2
20080 5 3
20090 9 1
20100 3 2
20110 10 4
20120 5 1
20130 7 0
20140 4 4
20150 10 3
20160 6 2
20170 6 0
20180 6 2
20190 6 0
20200 6 2
20210 9 2
20220 12 1
20230 6 1
20240 6 4
20250 6 2
20260 8 2
20270 5 2
20280 10 1
20290 6 2
20300 6 2
20310 6 2
20320 7 0
20330 7 3
20340 8 1
20350 4 2
20360 5 2
20370 6 1
20380 7 2
20390 4 3
20400 2 4
20410 3 2
20420 4 5
20430 8 5
20440 9 1
20450 8 2
20460 4 4
20470 7 3
20480 6 5
20490 4 0
20500 5 1
20510 6 2
20520 1 2
20530 3 4
20540 7 2
20550 7 1
20560 5 0
20570 5 5
20580 2 2
20590 3 3
20600 9 2
20610 5 1
20620 3 0
20630 5 4
20640 4 2
20650 3 0
20660 3 0
20670 4 4
20680 4 2
20690 6 1
20700 3 0
20710 1 1
20720 4 3
20730 7 1
20740 10 2
20750 9 3
20760 5 1
20770 5 1
20780 3 3
20790 7 2
20800 4 1
20810 3 3
20820 5 0
20830 3 1
20840 6 1
20850 6 0
20860 9 3
20870 6 2
20880 9 6
20890 9 2
20900 6 3
20910 6 1
20920 11 1
20930 10 3
20940 7 7
20950 18 3
20960 15 2
20970 18 1
20980 10 2
20990 18 3
21000 12 3
21010 19 3
21020 13 1
21030 20 2
21040 11 1
21050 19 5
21060 21 0
21070 19 3
21080 22 3
21090 18 2
21100 17 3
21110 16 2
21120 20 2
21130 12 2
21140 20 2
21150 14 1
21160 16 2
21170 11 2
21180 20 1
21190 12 1
21200 12 2
21210 17 1
21220 15 1
21230 10 3
21240 11 4
21250 9 2
21260 8 4
21270 7 2
21280 15 0
21290 12 3
21300 9 2
21310 11 6
21320 13 3
21330 12 3
21340 10 4
21350 11 10
21360 8 3
21370 13 8
21380 14 7
21390 12 10
21400 13 2
21410 10 6
21420 12 14
21430 8 10
21440 10 15
21450 10 16
21460 13 13
21470 8 13
21480 12 9
21490 8 14
21500 7 17
21510 6 12
21520 6 10
21530 7 12
21540 9 15
21550 6 10
21560 11 10
21570 12 7
21580 10 12
21590 6 13
21600 8 12
21610 14 9
21620 10 9
21630 1 17
21640 8 12
21650 6 8
21660 7 13
21670 3 13
21680 5 26
21690 4 13
21700 6 16
21710 8 18
21720 7 20
21730 6 16
21740 6 18
21750 8 16
21760 7 23
21770 4 17
21780 7 26
21790 7 21
21800 4 14
21810 4 17
21820 10 18
21830 4 14
21840 1 8
21850 8 11
21860 5 17
21870 4 17
21880 4 6
21890 5 14
21900 3 16
21910 10 9
21920 6 7
21930 3 13
21940 9 9
21950 2 12
21960 5 5
21970 5 8
21980 3 11
21990 6 7
22000 5 5
22010 3 15
22020 3 4
22030 1 5
22040 7 5
22050 10 7
22060 8 3
22070 3 6
22080 3 9
22090 5 4
22100 4 3
22110 1 5
22120 6 4
22130 4 6
22140 4 4
22150 6 6
22160 6 6
22170 4 4
22180 5 4
22190 6 6
22200 3 4
22210 6 2
22220 2 3
22230 7 5
22240 2 1
22250 1 2
22260 6 10
22270 2 1
22280 7 3
22290 7 5
22300 7 2
22310 0 5
22320 6 2
22330 3 3
22340 4 0
22350 4 2
22360 7 7
22370 7 2
22380 5 1
22390 3 3
22400 6 2
22410 7 3
22420 3 3
22430 2 5
22440 7 3
22450 6 1
22460 7 7
22470 7 1
22480 3 5
22490 4 2
22500 7 0
22510 7 0
22520 8 1
22530 9 1
22540 4 2
22550 3 0
22560 8 2
22570 2 0
22580 2 1
22590 8 3
22600 2 2
22610 3 3
22620 9 0
22630 11 0
22640 3 3
22650 3 4
22660 7 3
22670 7 0
22680 6 1
22690 3 2
22700 1 3
22710 5 3
22720 7 2
22730 4 1
22740 12 0
22750 6 1
22760 8 0
22770 9 1
22780 7 1
22790 7 1
22800 4 7
22810 3 1
22820 6 2
22830 6 1
22840 5 3
22850 8 2
22860 5 2
22870 18 2
22880 6 1
22890 5 0
22900 3 2
22910 9 0
22920 8 0
22930 5 4
22940 2 0
22950 1 2
22960 6 1
22970 3 0
22980 8 2
22990 6 0
23000 3 0
23010 7 1
23020 0 1
23030 4 0
23040 6 0
23050 10 1
23060 9 0
23070 7 3
23080 8 5
23090 7 1
23100 5 1
23110 4 5
23120 5 0
23130 8 0
23140 10 3
23150 3 0
23160 2 1
23170 10 0
23180 4 4
23190 12 1
23200 8 0
23210 11 1
23220 4 2
23230 5 0
23240 2 2
23250 5 1
23260 2 3
23270 5 1
23280 4 0
23290 4 2
23300 6 1
23310 5 2
23320 2 4
23330 2 2
23340 3 0
23350 3 3
23360 4 1
23370 4 2
23380 9 3
23390 8 3
23400 6 3
23410 6 1
23420 5 1
23430 9 0
23440 5 2
23450 2 1
23460 5 3
23470 2 3
23480 4 1
23490 3 1
23500 3 2
23510 3 4
23520 5 1
23530 4 0
23540 8 0
23550 2 3
23560 1 1
23570 0 3
23580 0 0
23590 6 1
23600 3 1
23610 2 0
23620 2 1
23630 7 2
23640 4 1
23650 3 3
23660 8 1
23670 3 0
23680 3 1
23690 3 0
23700 4 0
23710 4 2
23720 5 0
23730 6 0
23740 1 2
23750 2 3
23760 7 1
23770 3 0
23780 7 1
23790 5 1
23800 3 0
23810 2 0
23820 2 0
23830 2 0
23840 1 1
23850 1 0
23860 3 2
23870 4 0
23880 5 0
23890 5 2
23900 4 2
23910 3 0
23920 3 1
23930 6 1
23940 4 1
23950 1 0
23960 2 1
23970 1 1
23980 10 0
23990 4 3
24000 3 0
24010 3 1
24020 2 2
24030 3 1
24040 6 1
24050 1 0
24060 7 0
24070 7 0
24080 1 1
24090 5 6
24100 5 3
24110 4 1
24120 2 0
24130 3 0
24140 1 0
24150 3 2
24160 1 0
24170 4 2
24180 3 2
24190 3 1
24200 1 1
24210 4 0
24220 6 2
24230 8 2
24240 4 0
24250 3 1
24260 4 4
24270 4 0
24280 3 2
24290 1 0
24300 2 1
24310 2 1
24320 6 0
24330 0 1
24340 6 1
24350 3 2
24360 4 0
24370 1 0
24380 2 1
24390 1 1
24400 2 0
24410 2 1
24420 3 3
24430 4 0
24440 4 2
24450 3 2
24460 1 5
24470 3 1
24480 3 1
24490 1 1
24500 4 1
24510 1 0
24520 2 0
24530 2 0
24540 3 0
24550 4 3
24560 9 0
24570 1 3
24580 2 1
24590 3 0
24600 3 0
24610 4 2
24620 1 2
24630 0 0
24640 2 3
24650 1 1
24660 4 0
24670 5 0
24680 4 1
24690 5 1
24700 6 1
24710 1 1
24720 5 1
24730 2 1
24740 4 0
24750 5 1
24760 2 0
24770 1 1
24780 2 0
24790 4 2
24800 2 0
24810 5 1
24820 1 0
24830 2 3
24840 4 1
24850 3 2
24860 7 0
24870 3 0
24880 1 0
24890 0 0
24900 0 0
24910 0 0
24920 0 0
24930 0 0
24940 0 0
24950 0 0
24960 0 0
24970 0 0
24980 0 0
24990 0 0
25000 0 0
25010 0 0
25020 0 0
25030 0 0
25040 0 0
25050 0 0
25060 0 0
25070 0 0
25080 0 0
25090 0 0
25100 0 0
25110 0 0
25120 0 0
25130 0 0
25140 0 0
25150 0 0
25160 0 0
25170 0 0
25180 0 0
25190 0 0
25200 0 0
25210 0 0
25220 0 0
25230 0 0
25240 0 0
25250 0 0
25260 0 0
25270 0 0
25280 0 0
25290 0 0
25300 0 0
25310 0 0
25320 0 0
25330 0 0
25340 0 0
25350 0 0
25360 0 0
25370 0 0
25380 0 0
25390 0 0
25400 0 0
25410 0 0
25420 0 0
25430 0 0
25440 0 0
25450 0 0
25460 0 0
25470 0 0
25480 0 0
25490 0 0
25500 0 0
25510 0 0
25520 0 0
25530 0 0
25540 0 0
25550 0 0
25560 0 0
25570 0 0
25580 0 0
25590 0 0
25600 0 0
25610 0 0
25620 0 0
25630 0 0
25640 0 0
25650 0 0
25660 0 0
25670 0 0
25680 0 0
25690 0 0
25700 0 0
25710 0 0
25720 0 0
25730 0 0
25740 0 0
25750 0 0
25760 0 0
25770 0 0
25780 0 0
25790 0 0
25800 0 0
25810 0 0
25820 0 0
25830 0 0
25840 0 0
25850 0 0
25860 0 0
25870 0 0
25880 0 0
25890 0 0
25900 0 0
25910 0 0
25920 0 0
25930 0 0
25940 0 0
25950 0 0
25960 0 0
25970 0 0
25980 0 0
25990 0 0
26000 0 0
26010 0 0
26020 0 0
26030 0 0
26040 0 0
26050 0 0
26060 0 0
26070 0 0
26080 0 0
26090 0 0
26100 0 0
26110 0 0
26120 0 0
26130 0 0
26140 0 0
26150 0 0
26160 0 0
26170 0 0
26180 0 0
26190 0 0
26200 0 0
26210 0 0
26220 0 0
26230 0 0
26240 0 0
26250 0 0
26260 0 0
26270 0 0
26280 0 0
26290 0 0
26300 0 0
26310 0 0
26320 0 0
26330 0 0
26340 0 0
26350 0 0
26360 0 0
26370 0 0
26380 0 0
26390 0 0
26400 0 0
26410 0 0
26420 0 0
26430 0 0
26440 0 0
26450 0 0
26460 0 0
26470 0 0
26480 0 0
26490 0 0
26500 0 0
26510 0 0
26520 0 0
26530 0 0
26540 0 0
26550 0 0
26560 0 0
26570 0 0
26580 0 0
26590 0 0
26600 0 0
26610 0 0
26620 0 0
26630 0 0
26640 0 0
26650 0 0
26660 0 0
26670 0 0
26680 0 0
26690 0 0
26700 0 0
26710 0 0
26720 0 0
26730 0 0
26740 0 0
26750 0 0
26760 0 0
26770 0 0
26780 0 0
26790 0 0
26800 0 0
26810 0 0
26820 0 0
26830 0 0
26840 0 0
26850 0 0
26860 0 0
26870 0 0
26880 0 0
26890 0 0
26900 0 0
26910 0 0
26920 0 0
26930 0 0
26940 0 0
26950 0 0
26960 0 0
26970 0 0
26980 0 0
26990 0 0
27000 0 0
27010 0 0
27020 0 0
27030 0 0
27040 0 0
27050 0 0
27060 0 0
27070 0 0
27080 0 0
27090 0 0
27100 0 0
27110 0 0
27120 0 0
27130 0 0
27140 0 0
27150 0 0
27160 0 0
27170 0 0
27180 0 0
27190 0 0
27200 0 0
27210 0 0
27220 0 0
27230 0 0
27240 0 0
27250 0 0
27260 0 0
27270 0 0
27280 0 0
27290 0 0
27300 0 0
27310 0 0
27320 0 0
27330 0 0
27340 0 0
27350 0 0
27360 0 0
27370 0 0
27380 0 0
27390 0 0
27400 0 0
27410 0 0
27420 0 0
27430 0 0
27440 0 0
27450 0 0
27460 0 0
27470 0 0
27480 0 0
27490 0 0
27500 0 0
27510 0 0
27520 0 0
27530 0 0
27540 0 0
27550 0 0
27560 0 0
27570 0 0
27580 0 0
27590 0 0
27600 0 0
27610 0 0
27620 0 0
27630 0 0
27640 0 0
27650 0 0
27660 0 0
27670 0 0
27680 0 0
27690 0 0
27700 0 0
27710 0 0
27720 0 0
27730 0 0
27740 0 0
27750 0 0
27760 0 0
27770 0 0
27780 0 0
27790 0 0
27800 0 0
27810 0 0
27820 0 0
27830 0 0
27840 0 0
27850 0 0
27860 0 0
27870 0 0
27880 0 0
27890 0 0
27900 0 0
27910 0 0
27920 0 0
27930 0 0
27940 0 0
27950 0 0
27960 0 0
27970 0 0
27980 0 0
27990 0 0
28000 0 0
28010 0 0
28020 0 0
28030 0 0
28040 0 0
28050 0 0
28060 0 0
28070 0 0
28080 0 0
28090 0 0
28100 0 0
28110 0 0
28120 0 0
28130 0 0
28140 0 0
28150 0 0
28160 0 0
28170 0 0
28180 0 0
28190 0 0
28200 0 0
28210 0 0
28220 0 0
28230 0 0
28240 0 0
28250 0 0
28260 0 0
28270 0 0
28280 0 0
28290 0 0
28300 0 0
28310 0 0
28320 0 0
28330 0 0
28340 0 0
28350 0 0
28360 0 0
28370 0 0
28380 0 0
28390 0 0
28400 0 0
28410 0 0
28420 0 0
28430 0 0
28440 0 0
28450 0 0
28460 0 0
28470 0 0
28480 0 0
28490 0 0
28500 0 0
28510 0 0
28520 0 0
28530 0 0
28540 0 0
28550 0 0
28560 0 0
28570 0 0
28580 0 0
28590 0 0
28600 0 0
28610 0 0
28620 0 0
28630 0 0
28640 0 0
28650 0 0
28660 0 0
28670 0 0
28680 0 0
28690 0 0
28700 0 0
28710 0 0
28720 0 0
28730 0 0
28740 0 0
28750 0 0
28760 0 0
28770 0 0
28780 0 0
28790 0 0
28800 0 0
28810 0 0
28820 0 0
28830 0 0
28840 0 0
28850 0 0
28860 0 0
28870 0 0
28880 0 0
28890 0 0
28900 0 0
28910 0 0
28920 0 0
28930 0 0
28940 0 0
28950 0 0
28960 0 0
28970 0 0
28980 0 0
28990 0 0
29000 0 0
29010 0 0
29020 0 0
29030 0 0
29040 0 0
29050 0 0
29060 0 0
29070 0 0
29080 0 0
29090 0 0
29100 0 0
29110 0 0
29120 0 0
29130 0 0
29140 0 0
29150 0 0
29160 0 0
29170 0 0
29180 0 0
29190 0 0
29200 0 0
29210 0 0
29220 0 0
29230 0 0
29240 0 0
29250 0 0
29260 0 0
29270 0 0
29280 0 0
29290 0 0
29300 0 0
29310 0 0
29320 0 0
29330 0 0
29340 0 0
29350 0 0
29360 0 0
29370 0 0
29380 0 0
29390 0 0
29400 0 0
29410 0 0
29420 0 0
29430 0 0
29440 0 0
29450 0 0
29460 0 0
29470 0 0
29480 0 0
29490 0 0
29500 0 0
29510 0 0
29520 0 0
29530 0 0
29540 0 0
29550 0 0
29560 0 0
29570 0 0
29580 0 0
29590 0 0
29600 0 0
29610 0 0
29620 0 0
29630 0 0
29640 0 0
29650 0 0
29660 0 0
29670 0 0
29680 0 0
29690 0 0
29700 0 0
29710 0 0
29720 0 0
29730 0 0
29740 0 0
29750 0 0
29760 0 0
29770 0 0
29780 0 0
29790 0 0
29800 0 0
29810 0 0
29820 0 0
29830 0 0
29840 0 0
29850 0 0
29860 0 0
29870 0 0
29880 0 0
29890 0 0
29900 0 0
29910 0 0
29920 0 0
29930 0 0
29940 0 0
29950 0 0
29960 0 0
29970 0 0
29980 0 0
29990 0 0
