#
%Time%Gated%Ungated
@ ns@ @ 
4670 3 0
4680 0 0
4690 0 0
4700 2 0
4710 0 0
4720 1 0
4730 1 1
4740 0 0
4750 0 1
4760 0 0
4770 0 0
4780 0 0
4790 3 0
4800 0 2
4810 0 0
4820 0 0
4830 2 2
4840 2 1
4850 0 0
4860 1 1
4870 2 1
4880 2 0
4890 1 0
4900 2 0
4910 1 0
4920 1 0
4930 0 1
4940 1 0
4950 2 0
4960 2 0
4970 2 0
4980 3 1
4990 1 0
5000 0 0
5010 3 0
5020 2 0
5030 1 0
5040 3 0
5050 1 0
5060 1 0
5070 0 0
5080 3 1
5090 1 1
5100 1 1
5110 6 1
5120 2 0
5130 0 0
5140 1 1
5150 0 0
5160 0 1
5170 0 0
5180 1 0
5190 0 0
5200 1 2
5210 0 0
5220 3 0
5230 1 0
5240 0 0
5250 1 0
5260 2 0
5270 0 0
5280 1 1
5290 0 0
5300 1 0
5310 2 0
5320 0 0
5330 0 0
5340 1 0
5350 1 0
5360 1 1
5370 2 1
5380 2 0
5390 2 0
5400 1 1
5410 1 0
5420 0 0
5430 0 0
5440 0 0
5450 2 1
5460 2 1
5470 1 2
5480 1 0
5490 1 0
5500 0 1
5510 3 0
5520 2 2
5530 1 0
5540 3 0
5550 4 0
5560 1 1
5570 0 0
5580 0 0
5590 1 0
5600 0 1
5610 1 0
5620 2 1
5630 0 0
5640 3 0
5650 0 0
5660 1 0
5670 1 0
5680 2 1
5690 0 1
5700 0 0
5710 1 1
5720 4 0
5730 2 0
5740 2 1
5750 0 1
5760 0 1
5770 3 1
5780 1 1
5790 2 1
5800 0 1
5810 3 1
5820 1 0
5830 2 0
5840 1 0
5850 1 1
5860 1 1
5870 2 1
5880 4 1
5890 1 1
5900 1 0
5910 1 2
5920 1 0
5930 2 1
5940 1 0
5950 2 2
5960 0 0
5970 2 0
5980 1 1
5990 2 1
6000 0 0
6010 2 0
6020 1 0
6030 1 0
6040 1 1
6050 3 0
6060 1 1
6070 1 0
6080 1 0
6090 2 3
6100 0 0
6110 0 1
6120 0 0
6130 0 0
6140 1 0
6150 0 0
6160 1 0
6170 1 0
6180 0 0
6190 0 0
6200 1 1
6210 3 0
6220 1 0
6230 1 0
6240 1 0
6250 0 1
6260 0 0
6270 0 1
6280 1 1
6290 0 0
6300 2 0
6310 0 3
6320 0 0
6330 3 1
6340 1 0
6350 1 0
6360 0 0
6370 0 1
6380 1 0
6390 1 0
6400 0 3
6410 1 0
6420 1 0
6430 0 0
6440 2 0
6450 0 0
6460 2 1
6470 1 0
6480 0 0
6490 2 1
6500 0 0
6510 1 0
6520 0 0
6530 2 0
6540 0 0
6550 0 0
6560 0 1
6570 1 1
6580 0 0
6590 0 1
6600 0 0
6610 1 0
6620 2 2
6630 0 1
6640 4 1
6650 1 0
6660 1 0
6670 2 0
6680 1 0
6690 0 0
6700 0 1
6710 3 0
6720 1 1
6730 0 0
6740 1 0
6750 0 0
6760 1 0
6770 1 1
6780 1 1
6790 0 0
6800 0 0
6810 1 0
6820 0 0
6830 0 0
6840 3 0
6850 0 0
6860 0 0
6870 1 0
6880 2 0
6890 1 0
6900 0 1
6910 1 0
6920 0 0
6930 0 0
6940 1 0
6950 2 0
6960 1 1
6970 2 1
6980 0 0
6990 1 0
7000 1 0
7010 0 0
7020 1 0
7030 0 0
7040 2 1
7050 0 0
7060 1 0
7070 1 0
7080 0 0
7090 0 0
7100 0 0
7110 1 0
7120 0 0
7130 0 1
7140 2 0
7150 0 0
7160 1 0
7170 1 0
7180 0 0
7190 0 0
7200 3 0
7210 1 4
7220 0 0
7230 1 2
7240 0 0
7250 0 0
7260 3 3
7270 1 0
7280 0 0
7290 0 1
7300 0 0
7310 1 1
7320 2 0
7330 1 0
7340 0 0
7350 0 1
7360 1 0
7370 2 1
7380 0 0
7390 0 0
7400 0 0
7410 0 0
7420 1 1
7430 0 0
7440 1 1
7450 3 0
7460 0 0
7470 0 0
7480 1 0
7490 0 0
7500 0 0
7510 1 0
7520 0 0
7530 1 0
7540 0 1
7550 0 0
7560 0 0
7570 0 0
7580 0 0
7590 1 1
7600 1 1
7610 3 0
7620 0 0
7630 1 0
7640 0 1
7650 0 0
7660 1 0
7670 3 1
7680 0 0
7690 2 0
7700 2 0
7710 0 2
7720 1 1
7730 0 0
7740 1 0
7750 1 0
7760 0 0
7770 2 1
7780 1 0
7790 1 0
7800 0 0
7810 0 0
7820 0 0
7830 1 0
7840 0 0
7850 3 1
7860 1 1
7870 1 0
7880 0 0
7890 1 0
7900 2 0
7910 2 0
7920 1 0
7930 0 0
7940 2 0
7950 0 0
7960 0 0
7970 1 0
7980 0 0
7990 1 2
8000 0 1
8010 1 2
8020 2 1
8030 1 0
8040 1 0
8050 1 0
8060 0 0
8070 1 0
8080 1 0
8090 3 0
8100 0 0
8110 1 0
8120 0 1
8130 1 2
8140 1 0
8150 1 0
8160 0 0
8170 1 1
8180 1 1
8190 1 0
8200 1 0
8210 0 0
8220 1 0
8230 1 0
8240 1 0
8250 0 0
8260 0 1
8270 0 0
8280 2 0
8290 3 0
8300 0 0
8310 0 1
8320 0 0
8330 2 0
8340 0 1
8350 1 1
8360 2 0
8370 1 0
8380 3 1
8390 0 0
8400 1 0
8410 1 0
8420 0 1
8430 1 0
8440 1 0
8450 0 0
8460 1 0
8470 1 0
8480 1 0
8490 0 0
8500 2 1
8510 1 1
8520 0 0
8530 0 0
8540 0 0
8550 1 1
8560 0 0
8570 1 0
8580 1 0
8590 3 1
8600 0 1
8610 0 1
8620 0 0
8630 1 0
8640 1 1
8650 1 0
8660 1 0
8670 1 0
8680 3 1
8690 1 0
8700 1 0
8710 0 0
8720 1 0
8730 0 0
8740 2 0
8750 0 0
8760 1 0
8770 1 1
8780 0 0
8790 0 0
8800 1 0
8810 1 0
8820 1 1
8830 0 0
8840 1 0
8850 0 1
8860 0 0
8870 1 0
8880 2 0
8890 1 0
8900 1 1
8910 0 0
8920 0 1
8930 1 0
8940 2 0
8950 0 3
8960 1 0
8970 0 0
8980 0 0
8990 0 0
9000 1 0
9010 0 0
9020 0 3
9030 0 1
9040 0 1
9050 0 0
9060 1 2
9070 0 0
9080 1 1
9090 1 0
9100 0 0
9110 1 0
9120 1 0
9130 0 0
9140 1 1
9150 1 0
9160 0 0
9170 1 0
9180 1 1
9190 0 0
9200 0 0
9210 0 0
9220 0 0
9230 0 0
9240 0 1
9250 1 1
9260 0 0
9270 0 0
9280 0 1
9290 1 0
9300 1 0
9310 1 0
9320 0 0
9330 1 0
9340 0 0
9350 0 1
9360 0 0
9370 1 0
9380 0 0
9390 0 0
9400 0 0
9410 0 1
9420 1 1
9430 0 1
9440 0 0
9450 2 0
9460 0 0
9470 1 0
9480 0 0
9490 1 1
9500 0 0
9510 0 1
9520 0 0
9530 1 0
9540 0 0
9550 1 0
9560 0 0
9570 0 0
9580 0 1
9590 1 0
9600 0 0
9610 1 0
9620 2 1
9630 0 0
9640 0 0
9650 0 1
9660 2 0
9670 0 0
9680 2 0
9690 0 1
9700 2 1
9710 0 0
9720 1 1
9730 0 0
9740 2 1
9750 1 0
9760 3 1
9770 1 0
9780 0 0
9790 1 1
9800 1 0
9810 1 0
9820 2 0
9830 0 0
9840 1 0
9850 1 0
9860 2 1
9870 0 0
9880 1 0
9890 2 0
9900 2 1
9910 2 3
9920 5 0
9930 5 0
9940 4 1
9950 6 0
9960 7 0
9970 13 1
9980 6 0
9990 12 1
10000 20 1
10010 13 0
10020 25 3
10030 20 1
10040 31 1
10050 31 4
10060 41 1
10070 38 3
10080 45 5
10090 53 1
10100 50 6
10110 59 5
10120 68 6
10130 81 9
10140 63 10
10150 79 10
10160 93 10
10170 93 17
10180 110 16
10190 108 15
10200 109 14
10210 113 19
10220 137 19
10230 151 21
10240 149 26
10250 158 24
10260 143 36
10270 170 29
10280 191 28
10290 174 30
10300 183 45
10310 171 46
10320 189 43
10330 206 32
10340 228 43
10350 215 48
10360 233 47
10370 203 58
10380 229 52
10390 227 54
10400 248 36
10410 250 62
10420 275 53
10430 286 56
10440 253 72
10450 265 58
10460 282 59
10470 276 74
10480 297 60
10490 267 69
10500 341 58
10510 289 70
10520 277 76
10530 303 68
10540 293 84
10550 284 70
10560 260 80
10570 319 96
10580 288 95
10590 327 78
10600 275 78
10610 301 76
10620 327 92
10630 301 90
10640 318 95
10650 330 87
10660 308 81
10670 343 89
10680 335 88
10690 311 82
10700 347 91
10710 326 54
10720 335 88
10730 316 108
10740 313 82
10750 331 91
10760 318 79
10770 313 86
10780 335 102
10790 335 90
10800 327 98
10810 317 84
10820 301 106
10830 320 100
10840 317 86
10850 321 83
10860 314 95
10870 317 84
10880 344 83
10890 301 97
10900 298 87
10910 260 98
10920 300 80
10930 319 88
10940 296 78
10950 314 82
10960 295 94
10970 284 92
10980 295 89
10990 314 74
11000 295 84
11010 264 105
11020 269 89
11030 295 81
11040 292 85
11050 269 84
11060 239 74
11070 282 81
11080 283 69
11090 287 99
11100 267 81
11110 274 85
11120 238 83
11130 259 74
11140 263 82
11150 260 77
11160 252 66
11170 226 75
11180 273 60
11190 258 60
11200 235 82
11210 233 70
11220 256 68
11230 232 75
11240 224 55
11250 227 44
11260 225 65
11270 240 60
11280 220 72
11290 200 57
11300 187 57
11310 205 59
11320 211 59
11330 217 55
11340 194 59
11350 207 63
11360 195 51
11370 183 64
11380 204 50
11390 187 69
11400 204 55
11410 203 60
11420 184 61
11430 196 47
11440 192 54
11450 175 46
11460 185 48
11470 172 45
11480 192 58
11490 151 47
11500 154 50
11510 158 56
11520 182 59
11530 143 47
11540 153 56
11550 159 45
11560 147 52
11570 135 48
11580 149 56
11590 142 47
11600 139 43
11610 130 45
11620 147 58
11630 136 54
11640 133 40
11650 129 30
11660 134 36
11670 141 32
11680 153 37
11690 120 40
11700 155 41
11710 128 49
11720 133 49
11730 121 39
11740 134 34
11750 130 34
11760 111 44
11770 117 21
11780 119 35
11790 105 56
11800 111 31
11810 98 31
11820 120 35
11830 106 44
11840 94 28
11850 107 37
11860 117 38
11870 107 33
11880 99 30
11890 99 23
11900 107 29
11910 114 33
11920 95 36
11930 101 28
11940 87 30
11950 84 37
11960 87 25
11970 89 23
11980 102 27
11990 75 25
12000 89 27
12010 91 29
12020 103 26
12030 102 31
12040 93 35
12050 101 24
12060 82 26
12070 92 28
12080 82 34
12090 94 33
12100 93 27
12110 76 26
12120 83 21
12130 90 33
12140 92 19
12150 72 23
12160 76 17
12170 72 22
12180 62 20
12190 69 21
12200 75 26
12210 70 24
12220 79 16
12230 79 18
12240 64 26
12250 68 17
12260 75 19
12270 70 18
12280 97 19
12290 67 12
12300 64 29
12310 66 19
12320 54 11
12330 71 23
12340 75 14
12350 79 20
12360 64 22
12370 65 18
12380 77 20
12390 78 14
12400 76 22
12410 66 23
12420 61 17
12430 58 23
12440 53 17
12450 63 9
12460 64 14
12470 62 22
12480 67 16
12490 66 24
12500 64 19
12510 62 14
12520 77 20
12530 60 21
12540 65 15
12550 64 15
12560 67 18
12570 63 15
12580 60 17
12590 66 18
12600 64 23
12610 65 17
12620 67 19
12630 68 15
12640 49 19
12650 54 18
12660 62 17
12670 50 18
12680 50 21
12690 69 20
12700 74 18
12710 62 23
12720 72 23
12730 69 14
12740 46 18
12750 69 15
12760 58 13
12770 51 15
12780 57 24
12790 50 16
12800 53 18
12810 61 18
12820 47 21
12830 54 15
12840 54 11
12850 59 18
12860 57 16
12870 72 14
12880 50 17
12890 51 20
12900 59 12
12910 55 15
12920 76 12
12930 50 14
12940 57 20
12950 41 13
12960 59 9
12970 49 20
12980 54 16
12990 52 12
13000 50 11
13010 43 14
13020 49 14
13030 59 15
13040 59 19
13050 53 13
13060 62 16
13070 55 19
13080 53 15
13090 52 15
13100 55 10
13110 56 14
13120 52 16
13130 41 14
13140 46 19
13150 46 20
13160 55 13
13170 54 12
13180 54 14
13190 44 16
13200 61 14
13210 49 16
13220 49 15
13230 60 12
13240 47 16
13250 49 11
13260 57 12
13270 52 18
13280 55 13
13290 50 14
13300 40 14
13310 45 8
13320 58 13
13330 61 15
13340 53 10
13350 55 9
13360 49 16
13370 56 8
13380 54 13
13390 54 17
